somme 0 [2, 3, 7, 5, 8] (TypeHand.HIGH_CARD) 416$
somme 358 [3, 2, 5, 5, 3] (TypeHand.TWO_PAIR) 825$
somme 359 [3, 3, 6, Q, Q] (TypeHand.TWO_PAIR) 715$
somme 360 [3, 4, 3, 4, Q] (TypeHand.TWO_PAIR) 219$
somme 361 [3, 6, 6, 7, 3] (TypeHand.TWO_PAIR) 329$
somme 362 [3, 6, 9, 9, 3] (TypeHand.TWO_PAIR) 287$
somme 363 [3, 7, 3, 2, 2] (TypeHand.TWO_PAIR) 455$
somme 364 [3, 7, 7, 3, 5] (TypeHand.TWO_PAIR) 782$
somme 365 [3, 7, 9, 7, 3] (TypeHand.TWO_PAIR) 197$
somme 366 [3, 8, 2, 2, 3] (TypeHand.TWO_PAIR) 23$
somme 367 [3, 9, 9, 4, 3] (TypeHand.TWO_PAIR) 62$
somme 368 [3, 9, K, 9, K] (TypeHand.TWO_PAIR) 584$
somme 369 [3, K, A, A, K] (TypeHand.TWO_PAIR) 980$
somme 370 [4, 3, 5, 5, 3] (TypeHand.TWO_PAIR) 885$
somme 371 [4, 3, T, 3, 4] (TypeHand.TWO_PAIR) 175$
somme 372 [4, 4, 2, 2, 9] (TypeHand.TWO_PAIR) 724$
somme 373 [4, 4, 3, 3, 9] (TypeHand.TWO_PAIR) 327$
somme 374 [4, 4, T, A, T] (TypeHand.TWO_PAIR) 666$
somme 375 [4, 4, Q, Q, 6] (TypeHand.TWO_PAIR) 873$
somme 376 [4, 5, A, 4, 5] (TypeHand.TWO_PAIR) 179$
somme 377 [4, 6, 5, 5, 4] (TypeHand.TWO_PAIR) 862$
somme 378 [4, 7, Q, 4, 7] (TypeHand.TWO_PAIR) 650$
somme 379 [4, T, T, 3, 3] (TypeHand.TWO_PAIR) 829$
somme 380 [4, T, T, 4, 3] (TypeHand.TWO_PAIR) 426$
somme 381 [4, Q, Q, 7, 7] (TypeHand.TWO_PAIR) 146$
somme 382 [4, K, K, 5, 5] (TypeHand.TWO_PAIR) 595$
somme 383 [5, 2, 9, 5, 2] (TypeHand.TWO_PAIR) 897$
somme 384 [5, 2, Q, Q, 5] (TypeHand.TWO_PAIR) 458$
somme 385 [5, 4, 6, 4, 6] (TypeHand.TWO_PAIR) 232$
somme 386 [5, 5, 4, 4, 9] (TypeHand.TWO_PAIR) 472$
somme 387 [5, 5, 6, Q, 6] (TypeHand.TWO_PAIR) 589$
somme 388 [5, 5, A, A, 9] (TypeHand.TWO_PAIR) 857$
somme 389 [5, 6, T, T, 6] (TypeHand.TWO_PAIR) 225$
somme 390 [5, 7, 5, A, A] (TypeHand.TWO_PAIR) 237$
somme 391 [5, 8, 8, 3, 5] (TypeHand.TWO_PAIR) 359$
somme 392 [5, Q, 5, A, A] (TypeHand.TWO_PAIR) 697$
somme 393 [5, K, 5, 9, K] (TypeHand.TWO_PAIR) 313$
somme 394 [6, 2, T, T, 6] (TypeHand.TWO_PAIR) 567$
somme 395 [6, 5, 6, 5, 7] (TypeHand.TWO_PAIR) 848$
somme 396 [6, 9, 5, 5, 9] (TypeHand.TWO_PAIR) 598$
somme 397 [6, Q, 5, 6, Q] (TypeHand.TWO_PAIR) 304$
somme 398 [6, Q, Q, 6, 8] (TypeHand.TWO_PAIR) 397$
somme 399 [6, A, 6, A, K] (TypeHand.TWO_PAIR) 165$
somme 400 [7, 7, 2, 2, A] (TypeHand.TWO_PAIR) 923$
somme 401 [7, 7, 8, T, T] (TypeHand.TWO_PAIR) 290$
somme 402 [7, 8, 7, K, K] (TypeHand.TWO_PAIR) 81$
somme 403 [7, T, T, 3, 3] (TypeHand.TWO_PAIR) 504$
somme 404 [7, Q, K, Q, 7] (TypeHand.TWO_PAIR) 166$
somme 405 [8, 4, 4, 8, 3] (TypeHand.TWO_PAIR) 140$
somme 406 [8, 5, 5, 4, 8] (TypeHand.TWO_PAIR) 677$
somme 407 [8, 5, 8, T, T] (TypeHand.TWO_PAIR) 670$
somme 408 [8, 6, 6, 8, T] (TypeHand.TWO_PAIR) 720$
somme 409 [8, 7, 6, 6, 8] (TypeHand.TWO_PAIR) 644$
somme 410 [8, 7, 7, K, 8] (TypeHand.TWO_PAIR) 431$
somme 411 [8, 8, 7, 7, 9] (TypeHand.TWO_PAIR) 615$
somme 412 [8, T, 9, T, 8] (TypeHand.TWO_PAIR) 843$
somme 413 [8, T, T, 3, 3] (TypeHand.TWO_PAIR) 895$
somme 414 [8, Q, K, K, Q] (TypeHand.TWO_PAIR) 1000$
somme 415 [9, 2, 2, 9, 4] (TypeHand.TWO_PAIR) 893$
somme 416 [9, 2, 2, 9, 7] (TypeHand.TWO_PAIR) 795$
somme 417 [9, 2, 6, 2, 6] (TypeHand.TWO_PAIR) 774$
somme 418 [9, 4, T, 9, T] (TypeHand.TWO_PAIR) 27$
somme 419 [9, 6, 6, 8, 8] (TypeHand.TWO_PAIR) 40$
somme 420 [9, 6, 9, 4, 6] (TypeHand.TWO_PAIR) 235$
somme 421 [9, 7, 4, 7, 9] (TypeHand.TWO_PAIR) 863$
somme 422 [9, 9, 2, 2, A] (TypeHand.TWO_PAIR) 430$
somme 423 [9, 9, 6, A, 6] (TypeHand.TWO_PAIR) 661$
somme 424 [9, Q, 7, Q, 9] (TypeHand.TWO_PAIR) 278$
somme 425 [9, Q, 8, Q, 8] (TypeHand.TWO_PAIR) 881$
somme 426 [9, K, 9, 6, K] (TypeHand.TWO_PAIR) 414$
somme 427 [9, A, 4, 9, A] (TypeHand.TWO_PAIR) 676$
somme 428 [T, 2, 2, K, T] (TypeHand.TWO_PAIR) 158$
somme 429 [T, 3, 5, 5, T] (TypeHand.TWO_PAIR) 722$
somme 430 [T, 6, 6, A, T] (TypeHand.TWO_PAIR) 711$
somme 431 [T, 7, 7, K, K] (TypeHand.TWO_PAIR) 159$
somme 432 [T, 8, 5, 5, 8] (TypeHand.TWO_PAIR) 384$
somme 433 [T, 9, 6, 6, T] (TypeHand.TWO_PAIR) 616$
somme 434 [T, 9, 8, 9, 8] (TypeHand.TWO_PAIR) 457$
somme 435 [T, 9, 9, T, K] (TypeHand.TWO_PAIR) 844$
somme 436 [T, 9, T, 3, 3] (TypeHand.TWO_PAIR) 645$
somme 437 [T, T, 3, 5, 3] (TypeHand.TWO_PAIR) 480$
somme 438 [T, T, 4, 9, 4] (TypeHand.TWO_PAIR) 777$
somme 439 [T, T, 5, Q, Q] (TypeHand.TWO_PAIR) 202$
somme 440 [T, Q, T, 2, Q] (TypeHand.TWO_PAIR) 317$
somme 441 [T, K, A, T, K] (TypeHand.TWO_PAIR) 344$
somme 442 [Q, 3, 3, A, Q] (TypeHand.TWO_PAIR) 355$
somme 443 [Q, 3, Q, 5, 3] (TypeHand.TWO_PAIR) 394$
somme 444 [Q, 3, A, A, 3] (TypeHand.TWO_PAIR) 707$
somme 445 [Q, 6, 6, Q, A] (TypeHand.TWO_PAIR) 761$
somme 446 [Q, 8, 8, T, T] (TypeHand.TWO_PAIR) 611$
somme 447 [Q, 9, A, Q, A] (TypeHand.TWO_PAIR) 976$
somme 448 [Q, T, 6, 6, T] (TypeHand.TWO_PAIR) 135$
somme 449 [Q, Q, K, K, 5] (TypeHand.TWO_PAIR) 421$
somme 450 [Q, K, Q, T, K] (TypeHand.TWO_PAIR) 852$
somme 451 [Q, A, 3, Q, A] (TypeHand.TWO_PAIR) 936$
somme 452 [K, 5, 5, K, 6] (TypeHand.TWO_PAIR) 335$
somme 453 [K, 5, T, K, 5] (TypeHand.TWO_PAIR) 494$
somme 454 [K, 6, 6, A, K] (TypeHand.TWO_PAIR) 810$
somme 455 [K, 7, 4, K, 7] (TypeHand.TWO_PAIR) 513$
somme 456 [K, 7, 8, 8, K] (TypeHand.TWO_PAIR) 635$
somme 457 [K, 9, Q, Q, K] (TypeHand.TWO_PAIR) 785$
somme 458 [K, Q, 3, 3, Q] (TypeHand.TWO_PAIR) 228$
somme 459 [K, K, Q, Q, 2] (TypeHand.TWO_PAIR) 972$
somme 460 [A, 5, 5, 9, 9] (TypeHand.TWO_PAIR) 271$
somme 461 [A, 7, 7, A, 4] (TypeHand.TWO_PAIR) 530$
somme 462 [A, Q, A, 4, Q] (TypeHand.TWO_PAIR) 122$
somme 463 [A, K, A, 6, K] (TypeHand.TWO_PAIR) 964$
somme 464 [A, A, 3, 9, 9] (TypeHand.TWO_PAIR) 835$
somme 465 [A, A, 5, K, 5] (TypeHand.TWO_PAIR) 356$
somme 466 [A, A, 6, 6, 9] (TypeHand.TWO_PAIR) 372$
somme 467 [A, A, 8, 8, 6] (TypeHand.TWO_PAIR) 24$
somme 468 [J, 2, 7, 7, K] (TypeHand.THREE_OF_A_KIND) 633$
somme 469 [J, 3, T, 3, A] (TypeHand.THREE_OF_A_KIND) 674$
somme 470 [J, 4, Q, K, 4] (TypeHand.THREE_OF_A_KIND) 88$
somme 471 [J, 5, 5, 7, T] (TypeHand.THREE_OF_A_KIND) 226$
somme 472 [J, 5, 6, 3, 5] (TypeHand.THREE_OF_A_KIND) 793$
somme 473 [J, 6, A, A, 8] (TypeHand.THREE_OF_A_KIND) 382$
somme 474 [J, 9, Q, A, Q] (TypeHand.THREE_OF_A_KIND) 398$
somme 475 [J, 9, A, 9, 8] (TypeHand.THREE_OF_A_KIND) 789$
somme 476 [J, T, 6, T, 8] (TypeHand.THREE_OF_A_KIND) 22$
somme 477 [J, T, 8, 2, 2] (TypeHand.THREE_OF_A_KIND) 245$
somme 478 [J, T, Q, Q, 6] (TypeHand.THREE_OF_A_KIND) 735$
somme 479 [J, T, A, 8, 8] (TypeHand.THREE_OF_A_KIND) 389$
somme 480 [J, Q, 6, 6, 2] (TypeHand.THREE_OF_A_KIND) 535$
somme 481 [J, K, 3, 5, 5] (TypeHand.THREE_OF_A_KIND) 164$
somme 482 [J, K, 4, 9, K] (TypeHand.THREE_OF_A_KIND) 583$
somme 483 [J, K, 4, K, 8] (TypeHand.THREE_OF_A_KIND) 468$
somme 484 [J, K, 7, 6, 7] (TypeHand.THREE_OF_A_KIND) 405$
somme 485 [J, K, Q, Q, 5] (TypeHand.THREE_OF_A_KIND) 91$
somme 486 [J, A, 5, 5, 6] (TypeHand.THREE_OF_A_KIND) 703$
somme 487 [J, A, 6, 2, A] (TypeHand.THREE_OF_A_KIND) 345$
somme 488 [J, A, A, 7, K] (TypeHand.THREE_OF_A_KIND) 347$
somme 489 [2, J, 5, 8, 5] (TypeHand.THREE_OF_A_KIND) 991$
somme 490 [2, 2, 4, 3, 2] (TypeHand.THREE_OF_A_KIND) 265$
somme 491 [2, 2, 4, 6, 2] (TypeHand.THREE_OF_A_KIND) 606$
somme 492 [2, 4, J, 4, T] (TypeHand.THREE_OF_A_KIND) 8$
somme 493 [2, 6, 6, 6, 5] (TypeHand.THREE_OF_A_KIND) 568$
somme 494 [2, 7, 2, 9, 2] (TypeHand.THREE_OF_A_KIND) 273$
somme 495 [2, 9, 2, 2, 4] (TypeHand.THREE_OF_A_KIND) 781$
somme 496 [2, T, T, 5, T] (TypeHand.THREE_OF_A_KIND) 859$
somme 497 [2, Q, 2, 2, 8] (TypeHand.THREE_OF_A_KIND) 625$
somme 498 [2, A, K, K, K] (TypeHand.THREE_OF_A_KIND) 934$
somme 499 [3, J, 2, 3, A] (TypeHand.THREE_OF_A_KIND) 207$
somme 500 [3, J, 6, 7, 3] (TypeHand.THREE_OF_A_KIND) 68$
somme 501 [3, 2, 3, 3, 5] (TypeHand.THREE_OF_A_KIND) 900$
somme 502 [3, 3, 5, 3, 9] (TypeHand.THREE_OF_A_KIND) 799$
somme 503 [3, 3, 5, 3, T] (TypeHand.THREE_OF_A_KIND) 773$
somme 504 [3, 3, A, 2, 3] (TypeHand.THREE_OF_A_KIND) 325$
somme 505 [3, 3, A, 7, 3] (TypeHand.THREE_OF_A_KIND) 871$
somme 506 [3, 4, 4, 6, 4] (TypeHand.THREE_OF_A_KIND) 481$
somme 507 [3, 6, 9, 9, J] (TypeHand.THREE_OF_A_KIND) 474$
somme 508 [3, 8, 8, 2, 8] (TypeHand.THREE_OF_A_KIND) 867$
somme 509 [3, 9, J, A, 3] (TypeHand.THREE_OF_A_KIND) 475$
somme 510 [3, 9, K, 9, 9] (TypeHand.THREE_OF_A_KIND) 479$
somme 511 [3, T, 5, T, T] (TypeHand.THREE_OF_A_KIND) 948$
somme 512 [3, T, 6, T, T] (TypeHand.THREE_OF_A_KIND) 93$
somme 513 [3, Q, J, 3, 9] (TypeHand.THREE_OF_A_KIND) 872$
somme 514 [3, K, 3, 3, 7] (TypeHand.THREE_OF_A_KIND) 719$
somme 515 [3, A, 8, 3, 3] (TypeHand.THREE_OF_A_KIND) 15$
somme 516 [4, 2, 3, J, 3] (TypeHand.THREE_OF_A_KIND) 609$
somme 517 [4, 3, 3, J, T] (TypeHand.THREE_OF_A_KIND) 621$
somme 518 [4, 6, 4, 4, Q] (TypeHand.THREE_OF_A_KIND) 815$
somme 519 [4, 6, 4, 5, 4] (TypeHand.THREE_OF_A_KIND) 786$
somme 520 [4, 7, 7, 7, K] (TypeHand.THREE_OF_A_KIND) 554$
somme 521 [4, 7, 7, 9, 7] (TypeHand.THREE_OF_A_KIND) 523$
somme 522 [4, Q, 3, 3, 3] (TypeHand.THREE_OF_A_KIND) 605$
somme 523 [4, A, 2, A, J] (TypeHand.THREE_OF_A_KIND) 36$
somme 524 [4, A, T, T, T] (TypeHand.THREE_OF_A_KIND) 464$
somme 525 [5, J, 9, 9, 6] (TypeHand.THREE_OF_A_KIND) 377$
somme 526 [5, J, Q, 6, 6] (TypeHand.THREE_OF_A_KIND) 849$
somme 527 [5, 2, J, 2, 4] (TypeHand.THREE_OF_A_KIND) 277$
somme 528 [5, 2, 2, Q, J] (TypeHand.THREE_OF_A_KIND) 556$
somme 529 [5, 2, 9, 2, 2] (TypeHand.THREE_OF_A_KIND) 83$
somme 530 [5, 3, 8, J, 8] (TypeHand.THREE_OF_A_KIND) 515$
somme 531 [5, 4, 5, 9, 5] (TypeHand.THREE_OF_A_KIND) 441$
somme 532 [5, 4, A, 4, 4] (TypeHand.THREE_OF_A_KIND) 751$
somme 533 [5, 5, 4, 7, 5] (TypeHand.THREE_OF_A_KIND) 249$
somme 534 [5, 5, 5, K, 2] (TypeHand.THREE_OF_A_KIND) 816$
somme 535 [5, 5, 5, K, 3] (TypeHand.THREE_OF_A_KIND) 361$
somme 536 [5, 5, 9, J, Q] (TypeHand.THREE_OF_A_KIND) 819$
somme 537 [5, 6, 5, 8, J] (TypeHand.THREE_OF_A_KIND) 739$
somme 538 [5, 6, 6, 3, 6] (TypeHand.THREE_OF_A_KIND) 571$
somme 539 [5, 7, 4, 7, 7] (TypeHand.THREE_OF_A_KIND) 147$
somme 540 [5, 7, 7, 7, A] (TypeHand.THREE_OF_A_KIND) 459$
somme 541 [5, 8, 8, Q, 8] (TypeHand.THREE_OF_A_KIND) 514$
somme 542 [5, 9, 3, 9, 9] (TypeHand.THREE_OF_A_KIND) 521$
somme 543 [5, T, J, T, 2] (TypeHand.THREE_OF_A_KIND) 200$
somme 544 [5, T, 4, 4, 4] (TypeHand.THREE_OF_A_KIND) 842$
somme 545 [5, Q, 9, 5, 5] (TypeHand.THREE_OF_A_KIND) 333$
somme 546 [5, K, K, Q, K] (TypeHand.THREE_OF_A_KIND) 118$
somme 547 [6, J, Q, 6, A] (TypeHand.THREE_OF_A_KIND) 196$
somme 548 [6, 3, 3, 3, 9] (TypeHand.THREE_OF_A_KIND) 865$
somme 549 [6, 4, 7, 7, 7] (TypeHand.THREE_OF_A_KIND) 630$
somme 550 [6, 4, K, 6, 6] (TypeHand.THREE_OF_A_KIND) 547$
somme 551 [6, 5, Q, Q, J] (TypeHand.THREE_OF_A_KIND) 508$
somme 552 [6, 6, 9, 8, 6] (TypeHand.THREE_OF_A_KIND) 971$
somme 553 [6, 7, 7, 7, A] (TypeHand.THREE_OF_A_KIND) 364$
somme 554 [6, 9, 6, J, 8] (TypeHand.THREE_OF_A_KIND) 974$
somme 555 [6, 9, Q, 6, 6] (TypeHand.THREE_OF_A_KIND) 956$
somme 556 [6, Q, 4, 4, J] (TypeHand.THREE_OF_A_KIND) 363$
somme 557 [7, J, 4, 4, 2] (TypeHand.THREE_OF_A_KIND) 206$
somme 558 [7, J, 7, 3, 6] (TypeHand.THREE_OF_A_KIND) 484$
somme 559 [7, J, 9, K, K] (TypeHand.THREE_OF_A_KIND) 641$
somme 560 [7, 2, 7, 7, 4] (TypeHand.THREE_OF_A_KIND) 34$
somme 561 [7, 3, 8, 8, J] (TypeHand.THREE_OF_A_KIND) 128$
somme 562 [7, 5, 3, 7, 7] (TypeHand.THREE_OF_A_KIND) 887$
somme 563 [7, 7, 8, 7, 9] (TypeHand.THREE_OF_A_KIND) 3$
somme 564 [7, 7, A, 4, 7] (TypeHand.THREE_OF_A_KIND) 614$
somme 565 [7, 9, 3, 3, 3] (TypeHand.THREE_OF_A_KIND) 280$
somme 566 [7, 9, T, 7, 7] (TypeHand.THREE_OF_A_KIND) 257$
somme 567 [7, Q, 4, J, 7] (TypeHand.THREE_OF_A_KIND) 636$
somme 568 [7, K, T, 7, 7] (TypeHand.THREE_OF_A_KIND) 710$
somme 569 [7, K, K, K, Q] (TypeHand.THREE_OF_A_KIND) 125$
somme 570 [7, A, A, A, K] (TypeHand.THREE_OF_A_KIND) 512$
somme 571 [8, J, 2, 9, 2] (TypeHand.THREE_OF_A_KIND) 798$
somme 572 [8, J, T, T, Q] (TypeHand.THREE_OF_A_KIND) 349$
somme 573 [8, 2, J, 8, 7] (TypeHand.THREE_OF_A_KIND) 270$
somme 574 [8, 5, J, 3, 5] (TypeHand.THREE_OF_A_KIND) 156$
somme 575 [8, 5, 8, 3, 8] (TypeHand.THREE_OF_A_KIND) 794$
somme 576 [8, 6, 4, 4, 4] (TypeHand.THREE_OF_A_KIND) 314$
somme 577 [8, 8, J, K, 2] (TypeHand.THREE_OF_A_KIND) 63$
somme 578 [8, 8, 8, T, 3] (TypeHand.THREE_OF_A_KIND) 803$
somme 579 [8, 8, 8, A, 3] (TypeHand.THREE_OF_A_KIND) 959$
somme 580 [8, 9, 9, J, 4] (TypeHand.THREE_OF_A_KIND) 53$
somme 581 [8, K, 8, 4, 8] (TypeHand.THREE_OF_A_KIND) 268$
somme 582 [9, J, 6, 9, 8] (TypeHand.THREE_OF_A_KIND) 403$
somme 583 [9, J, A, A, 2] (TypeHand.THREE_OF_A_KIND) 243$
somme 584 [9, 2, 8, 9, 9] (TypeHand.THREE_OF_A_KIND) 854$
somme 585 [9, 3, 3, J, 4] (TypeHand.THREE_OF_A_KIND) 320$
somme 586 [9, 6, 2, 9, 9] (TypeHand.THREE_OF_A_KIND) 21$
somme 587 [9, 6, 4, J, 6] (TypeHand.THREE_OF_A_KIND) 938$
somme 588 [9, 7, 9, T, 9] (TypeHand.THREE_OF_A_KIND) 907$
somme 589 [9, 8, J, 2, 8] (TypeHand.THREE_OF_A_KIND) 548$
somme 590 [9, 8, 8, 8, K] (TypeHand.THREE_OF_A_KIND) 626$
somme 591 [9, 9, J, 2, K] (TypeHand.THREE_OF_A_KIND) 503$
somme 592 [9, 9, 2, 7, 9] (TypeHand.THREE_OF_A_KIND) 608$
somme 593 [9, 9, 3, 9, T] (TypeHand.THREE_OF_A_KIND) 318$
somme 594 [9, 9, 6, Q, 9] (TypeHand.THREE_OF_A_KIND) 687$
somme 595 [9, 9, A, 7, 9] (TypeHand.THREE_OF_A_KIND) 381$
somme 596 [9, T, T, 2, T] (TypeHand.THREE_OF_A_KIND) 123$
somme 597 [9, A, 5, A, A] (TypeHand.THREE_OF_A_KIND) 383$
somme 598 [T, J, 9, 4, 9] (TypeHand.THREE_OF_A_KIND) 154$
somme 599 [T, 2, T, 4, T] (TypeHand.THREE_OF_A_KIND) 448$
somme 600 [T, 3, T, A, J] (TypeHand.THREE_OF_A_KIND) 947$
somme 601 [T, 4, 4, 9, 4] (TypeHand.THREE_OF_A_KIND) 658$
somme 602 [T, 4, 9, T, J] (TypeHand.THREE_OF_A_KIND) 274$
somme 603 [T, 5, 5, J, 3] (TypeHand.THREE_OF_A_KIND) 903$
somme 604 [T, 6, 6, 6, 3] (TypeHand.THREE_OF_A_KIND) 371$
somme 605 [T, 6, 9, 9, 9] (TypeHand.THREE_OF_A_KIND) 400$
somme 606 [T, 6, T, T, A] (TypeHand.THREE_OF_A_KIND) 727$
somme 607 [T, 7, 7, 7, 6] (TypeHand.THREE_OF_A_KIND) 642$
somme 608 [T, 7, 7, 8, 7] (TypeHand.THREE_OF_A_KIND) 465$
somme 609 [T, 7, T, T, 5] (TypeHand.THREE_OF_A_KIND) 603$
somme 610 [T, T, 3, T, 4] (TypeHand.THREE_OF_A_KIND) 298$
somme 611 [T, T, T, 8, 7] (TypeHand.THREE_OF_A_KIND) 792$
somme 612 [T, T, T, 8, A] (TypeHand.THREE_OF_A_KIND) 543$
somme 613 [T, T, A, 5, T] (TypeHand.THREE_OF_A_KIND) 747$
somme 614 [T, Q, 7, J, Q] (TypeHand.THREE_OF_A_KIND) 577$
somme 615 [T, Q, T, A, T] (TypeHand.THREE_OF_A_KIND) 847$
somme 616 [T, Q, Q, K, Q] (TypeHand.THREE_OF_A_KIND) 373$
somme 617 [T, K, 2, K, J] (TypeHand.THREE_OF_A_KIND) 860$
somme 618 [T, A, 6, 6, 6] (TypeHand.THREE_OF_A_KIND) 212$
somme 619 [T, A, T, K, T] (TypeHand.THREE_OF_A_KIND) 946$
somme 620 [T, A, A, J, 6] (TypeHand.THREE_OF_A_KIND) 510$
somme 621 [Q, 4, Q, Q, 5] (TypeHand.THREE_OF_A_KIND) 764$
somme 622 [Q, 6, 4, Q, Q] (TypeHand.THREE_OF_A_KIND) 234$
somme 623 [Q, 6, 6, 4, 6] (TypeHand.THREE_OF_A_KIND) 927$
somme 624 [Q, 7, 6, J, 7] (TypeHand.THREE_OF_A_KIND) 599$
somme 625 [Q, 7, 7, 7, K] (TypeHand.THREE_OF_A_KIND) 552$
somme 626 [Q, 7, Q, 6, Q] (TypeHand.THREE_OF_A_KIND) 874$
somme 627 [Q, 8, 8, 6, 8] (TypeHand.THREE_OF_A_KIND) 618$
somme 628 [Q, 9, 4, Q, Q] (TypeHand.THREE_OF_A_KIND) 113$
somme 629 [Q, 9, 9, 7, 9] (TypeHand.THREE_OF_A_KIND) 302$
somme 630 [Q, 9, T, 9, 9] (TypeHand.THREE_OF_A_KIND) 244$
somme 631 [Q, T, 3, T, T] (TypeHand.THREE_OF_A_KIND) 42$
somme 632 [Q, T, 4, Q, Q] (TypeHand.THREE_OF_A_KIND) 864$
somme 633 [Q, T, Q, 3, Q] (TypeHand.THREE_OF_A_KIND) 981$
somme 634 [Q, T, Q, K, J] (TypeHand.THREE_OF_A_KIND) 802$
somme 635 [Q, Q, J, 5, A] (TypeHand.THREE_OF_A_KIND) 776$
somme 636 [Q, Q, 9, 3, J] (TypeHand.THREE_OF_A_KIND) 435$
somme 637 [Q, Q, 9, 8, Q] (TypeHand.THREE_OF_A_KIND) 267$
somme 638 [Q, Q, Q, A, 8] (TypeHand.THREE_OF_A_KIND) 466$
somme 639 [Q, K, Q, J, A] (TypeHand.THREE_OF_A_KIND) 507$
somme 640 [Q, A, Q, Q, 6] (TypeHand.THREE_OF_A_KIND) 898$
somme 641 [K, J, 8, 8, A] (TypeHand.THREE_OF_A_KIND) 549$
somme 642 [K, 4, J, A, 4] (TypeHand.THREE_OF_A_KIND) 639$
somme 643 [K, 4, Q, J, K] (TypeHand.THREE_OF_A_KIND) 262$
somme 644 [K, 4, Q, Q, Q] (TypeHand.THREE_OF_A_KIND) 246$
somme 645 [K, 5, 2, 2, J] (TypeHand.THREE_OF_A_KIND) 308$
somme 646 [K, 5, K, K, 7] (TypeHand.THREE_OF_A_KIND) 342$
somme 647 [K, 6, 9, 6, 6] (TypeHand.THREE_OF_A_KIND) 204$
somme 648 [K, T, T, T, 8] (TypeHand.THREE_OF_A_KIND) 546$
somme 649 [K, K, 7, K, 6] (TypeHand.THREE_OF_A_KIND) 94$
somme 650 [K, K, K, 3, 7] (TypeHand.THREE_OF_A_KIND) 853$
somme 651 [K, K, K, 8, 7] (TypeHand.THREE_OF_A_KIND) 25$
somme 652 [K, K, A, 5, J] (TypeHand.THREE_OF_A_KIND) 251$
somme 653 [K, K, A, K, T] (TypeHand.THREE_OF_A_KIND) 151$
somme 654 [K, A, 7, 7, 7] (TypeHand.THREE_OF_A_KIND) 264$
somme 655 [K, A, 9, 9, 9] (TypeHand.THREE_OF_A_KIND) 442$
somme 656 [K, A, K, K, 9] (TypeHand.THREE_OF_A_KIND) 410$
somme 657 [A, 2, 8, J, 8] (TypeHand.THREE_OF_A_KIND) 167$
somme 658 [A, 2, 8, A, A] (TypeHand.THREE_OF_A_KIND) 555$
somme 659 [A, 3, 3, K, 3] (TypeHand.THREE_OF_A_KIND) 869$
somme 660 [A, 4, 7, 4, 4] (TypeHand.THREE_OF_A_KIND) 105$
somme 661 [A, 6, J, Q, A] (TypeHand.THREE_OF_A_KIND) 252$
somme 662 [A, 6, 6, T, J] (TypeHand.THREE_OF_A_KIND) 368$
somme 663 [A, 8, 8, 8, K] (TypeHand.THREE_OF_A_KIND) 845$
somme 664 [A, A, J, 4, 5] (TypeHand.THREE_OF_A_KIND) 866$
somme 665 [A, A, 3, 2, A] (TypeHand.THREE_OF_A_KIND) 713$
somme 666 [A, A, 5, 8, J] (TypeHand.THREE_OF_A_KIND) 933$
somme 667 [A, A, A, 4, 8] (TypeHand.THREE_OF_A_KIND) 39$
somme 668 [A, A, A, 6, 9] (TypeHand.THREE_OF_A_KIND) 690$
somme 669 [J, J, 8, 6, 7] (TypeHand.FULL_HOUSE) 925$
somme 670 [J, J, K, 5, 3] (TypeHand.FULL_HOUSE) 58$
somme 671 [J, 2, 8, 2, 8] (TypeHand.FULL_HOUSE) 533$
somme 672 [J, 2, K, 2, K] (TypeHand.FULL_HOUSE) 241$
somme 673 [J, 4, 4, 5, 5] (TypeHand.FULL_HOUSE) 912$
somme 674 [J, 4, 7, 4, 7] (TypeHand.FULL_HOUSE) 806$
somme 675 [J, 5, 6, 5, 6] (TypeHand.FULL_HOUSE) 353$
somme 676 [J, 6, 3, J, 7] (TypeHand.FULL_HOUSE) 717$
somme 677 [J, 6, 8, A, J] (TypeHand.FULL_HOUSE) 194$
somme 678 [J, 7, 3, 7, 3] (TypeHand.FULL_HOUSE) 520$
somme 679 [J, 7, Q, 5, J] (TypeHand.FULL_HOUSE) 446$
somme 680 [J, 9, 7, 9, 7] (TypeHand.FULL_HOUSE) 796$
somme 681 [J, T, J, 6, 7] (TypeHand.FULL_HOUSE) 733$
somme 682 [J, T, 7, J, A] (TypeHand.FULL_HOUSE) 191$
somme 683 [J, T, K, 2, J] (TypeHand.FULL_HOUSE) 286$
somme 684 [J, Q, 2, J, 8] (TypeHand.FULL_HOUSE) 171$
somme 685 [J, Q, 6, A, J] (TypeHand.FULL_HOUSE) 826$
somme 686 [J, A, 9, T, J] (TypeHand.FULL_HOUSE) 574$
somme 687 [J, A, T, 4, J] (TypeHand.FULL_HOUSE) 730$
somme 688 [2, J, Q, 2, Q] (TypeHand.FULL_HOUSE) 619$
somme 689 [2, J, A, 2, A] (TypeHand.FULL_HOUSE) 509$
somme 690 [2, 2, 2, 3, 3] (TypeHand.FULL_HOUSE) 986$
somme 691 [2, 2, 2, 7, 7] (TypeHand.FULL_HOUSE) 542$
somme 692 [2, 2, T, 2, T] (TypeHand.FULL_HOUSE) 877$
somme 693 [2, 2, Q, Q, Q] (TypeHand.FULL_HOUSE) 467$
somme 694 [2, 5, 2, 2, 5] (TypeHand.FULL_HOUSE) 311$
